PROJETO,LOC,DEVELOPERS,COMMITS
asio,196656,53,3034
assimp,614926,462,10934
bitcoin,541474,853,32661
BlueMatter,812822,2,5
calligra,1602456,263,101573
Chaste,587473,25,5384
citra,428966,222,9141  
clickhouse,1422903,921,83445
core,9262610,25,3058
FreeCAD,4842675,383,27647
GacUI,504062,3,2238
gecko-dev,28303180,4910,785724
godot,4976013,1590,41538
gromacs,1680900,74,20825
grpc,717441,708,50493
kdenlive,205469,94,15645
kdevelop,338648,245,42650
krita,983754,336,57706
lammps,1626808,185,29307
mediapipe,235825,2,111
mlir,75845,2285,415644
mongo,5015374,571,63227
mysql-server,3733193,88,170220
obs-studio,482886,477,10466
opencv,2166493,1360,31603
openoffice,6894647,21,7657
percona-server,3777210,238,185334
proxysql,121989,90,4680
pytorch,1792819,2155,43944
qtbase,2714097,783,55238
rocksdb,497140,628,10766
server,1967124,300,195145
tensorflow,3284592,3068,125560
terminal,360717,313,2855
VTK,3690369,352,81218
winget-cli,305116,317,539
xbmc,1094954,785,59641
yarp,1029531,77,17416
yuzu,488099,203,20860
ZeroTierOne,137784,58,5409
