PROJETO,LOC,DEVELOPERS,COMMITS
ArchUnit,100276,49,1499
jtk,204105,9,1373
rest-assured,73511,105,2020
j2objc,1810274,75,5284
picasso,9136,97,1368
EventBus,8369,20,507
RxJava,468957,277,5877
okhttp,48465,235,4848
litiengine,75877,20,3324
rest.li,523972,89,2617
BoofCV,650019,14,4520
dropwizard,74215,364,5789
riptide,27072,18,2131
zxing,107064,109,3582
CoreNLP,581374,107,16280
retrofit,26513,152,1865
TwelveMonkeys,99418,42,1334
jenkins,175150,654,31156
unirest-java,15979,43,1603
Orienteer,55681,12,2274
MPAndroidChart,25232,69,2068
fastjson,179996,158,3863
ical4j,24130,35,2303
keywhiz,23337,32,1538
hdiv,30631,11,1086
lottie-android,16258,102,1292
spring-boot,343138,804,32096
AndroidUtilCode,39030,32,1317
dmelt_jhplot,103157,1,67
libgdx,272510,505,14661
tomcat,343703,61,23140
dubbo,179477,386,4681
webmagic,12926,40,1119
junit4,31242,151,2474
mockito,55751,220,5523
aeron,108442,86,14409
XChart,24406,50,1451
glide,76418,129,2583
butterknife,13279,97,1016
guice,72980,59,1931
